name	mpg	cyl	dsp	hp	lbs	acc	year	origin
 chevrolet vega  	25	4	140	75	2542	17	74	1
 chevrolet chevelle malibu classic  	16	6	250	100	3781	17	74	1
 amc matador  	16	6	258	110	3632	18	74	1
 plymouth satellite sebring  	18	6	225	105	3613	16.5	74	1
 ford gran torino  	16	8	302	140	4141	14	74	1
 buick century luxus (sw)  	13	8	350	150	4699	14.5	74	1
 dodge coronet custom (sw)  	14	8	318	150	4457	13.5	74	1
 ford gran torino (sw)  	14	8	302	140	4638	16	74	1
 amc matador (sw)  	14	8	304	150	4257	15.5	74	1
 audi fox  	29	4	98	83	2219	16.5	74	2
 volkswagen dasher  	26	4	79	67	1963	15.5	74	2
 opel manta  	26	4	97	78	2300	14.5	74	2
 toyota corona  	31	4	76	52	1649	16.5	74	3
 datsun 710  	32	4	83	61	2003	19	74	3
 dodge colt  	28	4	90	75	2125	14.5	74	1
 fiat 128  	24	4	90	75	2108	15.5	74	2
 fiat 124 tc  	26	4	116	75	2246	14	74	2
 honda civic  	24	4	120	97	2489	15	74	3
 subaru  	26	4	108	93	2391	15.5	74	3
 fiat x1.9  	31	4	79	67	2000	16	74	2
 plymouth valiant custom  	19	6	225	95	3264	16	75	1
 chevrolet nova  	18	6	250	105	3459	16	75	1
 mercury monarch  	15	6	250	72	3432	21	75	1
 ford maverick  	15	6	250	72	3158	19.5	75	1
 pontiac catalina  	16	8	400	170	4668	11.5	75	1
 chevrolet bel air  	15	8	350	145	4440	14	75	1
 plymouth grand fury  	16	8	318	150	4498	14.5	75	1
 ford ltd  	14	8	351	148	4657	13.5	75	1
 buick century  	17	6	231	110	3907	21	75	1
 chevroelt chevelle malibu  	16	6	250	105	3897	18.5	75	1
 amc matador  	15	6	258	110	3730	19	75	1
 plymouth fury  	18	6	225	95	3785	19	75	1
 buick skyhawk  	21	6	231	110	3039	15	75	1
 chevrolet monza 2+2  	20	8	262	110	3221	13.5	75	1
 ford mustang ii  	13	8	302	129	3169	12	75	1
 toyota corolla  	29	4	97	75	2171	16	75	3
 ford pinto  	23	4	140	83	2639	17	75	1
 amc gremlin  	20	6	232	100	2914	16	75	1
 pontiac astro  	23	4	140	78	2592	18.5	75	1
 toyota corona  	24	4	134	96	2702	13.5	75	3
 volkswagen dasher  	25	4	90	71	2223	16.5	75	2
 datsun 710  	24	4	119	97	2545	17	75	3
 ford pinto  	18	6	171	97	2984	14.5	75	1
 volkswagen rabbit  	29	4	90	70	1937	14	75	2
 amc pacer  	19	6	232	90	3211	17	75	1
 audi 100ls  	23	4	115	95	2694	15	75	2
 peugeot 504  	23	4	120	88	2957	17	75	2
 volvo 244dl  	22	4	121	98	2945	14.5	75	2
 saab 99le  	25	4	121	115	2671	13.5	75	2
 honda civic cvcc  	33	4	91	53	1795	17.5	75	3
 fiat 131  	28	4	107	86	2464	15.5	76	2
 opel 1900  	25	4	116	81	2220	16.9	76	2
 capri ii  	25	4	140	92	2572	14.9	76	1
 dodge colt  	26	4	98	79	2255	17.7	76	1
 renault 12tl  	27	4	101	83	2202	15.3	76	2
 chevrolet chevelle malibu classic  	17.5	8	305	140	4215	13	76	1
 dodge coronet brougham  	16	8	318	150	4190	13	76	1
 amc matador  	15.5	8	304	120	3962	13.9	76	1
 ford gran torino  	14.5	8	351	152	4215	12.8	76	1
 plymouth valiant  	22	6	225	100	3233	15.4	76	1
 chevrolet nova  	22	6	250	105	3353	14.5	76	1
 ford maverick  	24	6	200	81	3012	17.6	76	1
 amc hornet  	22.5	6	232	90	3085	17.6	76	1
 chevrolet chevette  	29	4	85	52	2035	22.2	76	1
 chevrolet woody  	24.5	4	98	60	2164	22.1	76	1
 vw rabbit  	29	4	90	70	1937	14.2	76	2
 honda civic  	33	4	91	53	1795	17.4	76	3
 dodge aspen se  	20	6	225	100	3651	17.7	76	1
 
